maeso,student
113,2306
92,2209
91,2420
82,2205
80,2302
74,2406
69,2116
68,1116
68,2305
66,2417
65,2103
65,2117
57,2113
56,2104
56,2120
56,2317
53,1414
53,2216
51,2403
49,1212
49,2304
48,2308
48,2402
47,2114
46,2101
46,2201
44,2109
44,2411
43,1205
42,1416
41,2310
40,1101
40,1320
40,2321
39,1113
39,1114
39,1115
39,1216
38,1402
38,2213
38,2315
37,2204
37,2316
36,1103
36,2208
36,2416
35,2220
34,2107
34,2108
34,2119
34,2207
34,2413
33,1207
33,2210
33,2218
33,2307
32,1210
32,1410
32,2414
31,1104
31,1117
31,1318
31,1403
31,2319
30,2419
29,1111
29,2112
26,1118
26,1301
25,2311
24,2407
23,1302
23,1312
22,1208
22,1407
21,1213
21,1412
19,1218
19,1219
19,2215
19,2309
19,2415
18,2111
17,1105
17,1417
17,2202
17,2312
16,1307
16,2206
15,1112
15,1310
15,2115
14,1311
14,1408
13,1102
13,1110
13,1202
13,1206
13,2303
12,1106
12,1309
12,2110
12,2401
12,2410
11,1308
11,1418
11,2106
11,2318
10,1220
10,1303
10,1314
10,1401
10,1404
10,2203
10,2214
10,2320
9,1315
9,1409
8,1107
8,1305
8,1405
8,1419
8,2102
7,1109
7,1201
7,1306
7,1406
7,1413
7,1415
7,2217
7,2405
7,2418
6,1120
6,1411
5,1203
5,1319
5,2211
4,1209
4,1313
4,1316
4,1317
4,2221
4,2408
4,2412
3,1108
3,1119
3,2118
3,2121
2,1204
2,1214
2,1215
2,1304
2,2301
2,2313
2,2404
1,1211
1,2105
1,2219
1,2314
1,2409
0,1217
0,1420
0,2212
